,current_day,cloud,temp_max,temp_min
0,2019-1-1,mostly sunny,14°,3°
1,2019-1-2,mostly sunny,14°,1°
2,2019-1-3,mostly sunny,11°,0°
3,2019-1-4,mostly sunny,9°,1°
4,2019-1-5,mostly sunny,13°,2°
5,2019-1-6,mostly sunny,12°,2°
6,2019-1-7,mostly sunny,11°,0°
7,2019-1-8,mostly sunny,12°,-3°
8,2019-1-9,mostly sunny,11°,5°
9,2019-1-10,mostly sunny,9°,2°
10,2019-1-11,mostly sunny,9°,-1°
11,2019-1-12,mostly sunny,14°,0°
12,2019-1-13,mostly sunny,15°,9°
13,2019-1-14,mostly sunny,16°,7°
14,2019-1-15,mostly sunny,14°,2°
15,2019-1-16,cloudy,12°,2°
16,2019-1-17,mostly sunny,14°,6°
17,2019-1-18,mostly sunny,11°,3°
18,2019-1-19,mostly sunny,10°,-2°
19,2019-1-20,scattered showers,7°,2°
20,2019-1-21,mostly sunny,13°,0°
21,2019-1-22,mostly sunny,8°,-1°
22,2019-1-23,mostly sunny,10°,3°
23,2019-1-24,mostly sunny,9°,0°
24,2019-1-25,mostly sunny,12°,0°
25,2019-1-26,mostly sunny,16°,0°
26,2019-1-27,mostly sunny,14°,6°
27,2019-1-28,mostly sunny,11°,4°
28,2019-1-29,mostly sunny,9°,2°
29,2019-1-30,mostly sunny,10°,2°
30,2019-1-31,cloudy,9°,0°
31,2019-2-1,cloudy,11°,7°
32,2019-2-2,cloudy,9°,5°
33,2019-2-3,mostly sunny,10°,5°
34,2019-2-4,mostly sunny,12°,0°
35,2019-2-5,mostly sunny,14°,3°
36,2019-2-6,mostly sunny,16°,0°
37,2019-2-7,mostly sunny,16°,0°
38,2019-2-8,mostly sunny,14°,2°
39,2019-2-9,mostly sunny,14°,2°
40,2019-2-10,foggy,15°,7°
41,2019-2-11,mostly sunny,14°,6°
42,2019-2-12,mostly sunny,16°,4°
43,2019-2-13,mostly sunny,15°,1°
44,2019-2-14,cloudy,14°,2°
45,2019-2-15,mostly sunny,14°,-1°
46,2019-2-16,mostly sunny,15°,0°
47,2019-2-17,cloudy,14°,5°
48,2019-2-18,cloudy,14°,7°
49,2019-2-19,cloudy,13°,4°
50,2019-2-20,mostly sunny,13°,1°
51,2019-2-21,mostly sunny,14°,1°
52,2019-2-22,mostly sunny,23°,4°
53,2019-2-23,mostly sunny,19°,8°
54,2019-2-24,cloudy,15°,8°
55,2019-2-25,mostly sunny,16°,3°
56,2019-2-26,mostly sunny,19°,4°
57,2019-2-27,mostly sunny,19°,3°
58,2019-2-28,mostly sunny,23°,3°
59,2019-3-1,mostly sunny,19°,10°
60,2019-3-2,mostly sunny,18°,10°
61,2019-3-3,mostly sunny,16°,4°
62,2019-3-4,mostly sunny,18°,10°
63,2019-3-5,mostly sunny,16°,6°
64,2019-3-6,cloudy,14°,6°
65,2019-3-7,mostly sunny,17°,10°
66,2019-3-8,mostly sunny,16°,3°
67,2019-3-9,mostly sunny,18°,9°
68,2019-3-10,mostly sunny,18°,13°
69,2019-3-11,mostly sunny,16°,7°
70,2019-3-12,mostly sunny,13°,0°
71,2019-3-13,mostly sunny,15°,5°
72,2019-3-14,mostly sunny,15°,9°
73,2019-3-15,mostly sunny,20°,13°
74,2019-3-16,mostly sunny,18°,7°
75,2019-3-17,mostly sunny,20°,7°
76,2019-3-18,mostly sunny,16°,8°
77,2019-3-19,mostly sunny,17°,6°
78,2019-3-20,mostly sunny,17°,3°
79,2019-3-21,mostly sunny,17°,3°
80,2019-3-22,mostly sunny,20°,4°
81,2019-3-23,mostly sunny,26°,4°
82,2019-3-24,mostly sunny,22°,6°
83,2019-3-25,mostly sunny,21°,7°
84,2019-3-26,mostly sunny,18°,9°
85,2019-3-27,mostly sunny,19°,4°
86,2019-3-28,mostly sunny,17°,3°
87,2019-3-29,mostly sunny,17°,4°
88,2019-3-30,mostly sunny,16°,4°
89,2019-3-31,mostly sunny,17°,4°
90,2019-4-1,mostly sunny,17°,5°
91,2019-4-2,mostly sunny,15°,4°
92,2019-4-3,mostly sunny,13°,8°
93,2019-4-4,mostly sunny,15°,5°
94,2019-4-5,cloudy,15°,0°
95,2019-4-6,mostly cloudy,14°,10°
96,2019-4-7,mostly sunny,14°,8°
97,2019-4-8,mostly sunny,16°,4°
98,2019-4-9,mostly sunny,17°,6°
99,2019-4-10,mostly sunny,20°,10°
100,2019-4-11,mostly sunny,19°,13°
101,2019-4-12,mostly sunny,20°,10°
102,2019-4-13,mostly sunny,19°,6°
103,2019-4-14,mostly sunny,17°,5°
104,2019-4-15,mostly sunny,15°,4°
105,2019-4-16,cloudy,16°,11°
106,2019-4-17,mostly sunny,17°,6°
107,2019-4-18,mostly sunny,19°,9°
108,2019-4-19,mostly sunny,21°,10°
109,2019-4-20,mostly sunny,23°,9°
110,2019-4-21,mostly sunny,19°,13°
111,2019-4-22,mostly sunny,23°,11°
112,2019-4-23,cloudy,16°,13°
113,2019-4-24,mostly sunny,17°,14°
114,2019-4-25,cloudy,16°,10°
115,2019-4-26,mostly sunny,20°,7°
116,2019-4-27,mostly sunny,21°,11°
117,2019-4-28,mostly sunny,20°,10°
118,2019-4-29,mostly sunny,21°,6°
119,2019-4-30,mostly sunny,22°,10°
120,2019-5-1,mostly sunny,21°,8°
121,2019-5-2,mostly sunny,23°,10°
122,2019-5-3,mostly sunny,20°,11°
123,2019-5-4,mostly sunny,21°,13°
124,2019-5-5,mostly sunny,16°,8°
125,2019-5-6,mostly sunny,20°,8°
126,2019-5-7,mostly sunny,18°,5°
127,2019-5-8,cloudy,15°,13°
128,2019-5-9,mostly sunny,22°,9°
129,2019-5-10,mostly sunny,21°,13°
130,2019-5-11,mostly sunny,23°,13°
131,2019-5-12,mostly sunny,21°,13°
132,2019-5-13,mostly sunny,23°,13°
133,2019-5-14,mostly sunny,23°,9°
134,2019-5-15,mostly sunny,22°,11°
135,2019-5-16,mostly sunny,20°,7°
136,2019-5-17,cloudy,15°,12°
137,2019-5-18,mostly sunny,21°,11°
138,2019-5-19,mostly sunny,20°,11°
139,2019-5-20,mostly sunny,23°,14°
140,2019-5-21,mostly sunny,26°,13°
141,2019-5-22,mostly sunny,26°,14°
142,2019-5-23,mostly sunny,24°,13°
143,2019-5-24,mostly sunny,22°,13°
144,2019-5-25,mostly sunny,28°,15°
145,2019-5-26,mostly sunny,27°,17°
146,2019-5-27,mostly sunny,26°,18°
147,2019-5-28,mostly sunny,22°,15°
148,2019-5-29,mostly sunny,24°,14°
149,2019-5-30,mostly sunny,27°,14°
150,2019-5-31,mostly sunny,26°,14°
151,2019-6-1,mostly sunny,22°,13°
152,2019-6-2,mostly sunny,22°,14°
153,2019-6-3,mostly sunny,24°,14°
154,2019-6-4,mostly sunny,22°,15°
155,2019-6-5,mostly sunny,22°,14°
156,2019-6-6,mostly sunny,22°,13°
157,2019-6-7,mostly sunny,22°,16°
158,2019-6-8,mostly sunny,26°,12°
159,2019-6-9,mostly sunny,26°,17°
160,2019-6-10,mostly sunny,26°,18°
161,2019-6-11,mostly sunny,19°,15°
162,2019-6-12,mostly sunny,21°,12°
163,2019-6-13,mostly sunny,21°,10°
164,2019-6-14,mostly sunny,28°,15°
165,2019-6-15,cloudy,27°,19°
166,2019-6-16,mostly sunny,28°,15°
167,2019-6-17,mostly sunny,28°,14°
168,2019-6-18,mostly sunny,26°,14°
169,2019-6-19,mostly sunny,23°,16°
170,2019-6-20,mostly sunny,30°,17°
171,2019-6-21,mostly sunny,27°,18°
172,2019-6-22,mostly sunny,27°,18°
173,2019-6-23,mostly sunny,26°,17°
174,2019-6-24,mostly sunny,27°,17°
175,2019-6-25,mostly sunny,31°,17°
176,2019-6-26,mostly sunny,33°,19°
177,2019-6-27,mostly sunny,35°,20°
178,2019-6-28,mostly sunny,43°,22°
179,2019-6-29,mostly sunny,34°,23°
180,2019-6-30,mostly sunny,34°,22°
181,2019-7-1,mostly sunny,30°,23°
182,2019-7-2,mostly sunny,33°,21°
183,2019-7-3,mostly sunny,32°,22°
184,2019-7-4,mostly sunny,32°,21°
185,2019-7-5,mostly sunny,31°,21°
186,2019-7-6,mostly sunny,29°,21°
187,2019-7-7,mostly sunny,36°,24°
188,2019-7-8,mostly sunny,34°,23°
189,2019-7-9,mostly sunny,26°,22°
190,2019-7-10,mostly sunny,33°,20°
191,2019-7-11,mostly sunny,34°,17°
192,2019-7-12,mostly sunny,37°,20°
193,2019-7-13,mostly sunny,32°,22°
194,2019-7-14,mostly sunny,33°,20°
195,2019-7-15,mostly sunny,31°,20°
196,2019-7-16,mostly sunny,29°,20°
197,2019-7-17,mostly sunny,34°,18°
198,2019-7-18,mostly sunny,34°,24°
199,2019-7-19,mostly sunny,30°,21°
200,2019-7-20,mostly sunny,27°,18°
201,2019-7-21,mostly sunny,30°,21°
202,2019-7-22,mostly sunny,31°,22°
203,2019-7-23,mostly sunny,31°,22°
204,2019-7-24,mostly sunny,32°,20°
205,2019-7-25,mostly sunny,29°,21°
206,2019-7-26,mostly sunny,30°,22°
207,2019-7-27,mostly sunny,28°,21°
208,2019-7-28,mostly sunny,30°,20°
209,2019-7-29,mostly sunny,28°,18°
210,2019-7-30,mostly sunny,33°,18°
211,2019-7-31,mostly sunny,32°,18°
212,2019-8-1,mostly sunny,30°,19°
213,2019-8-2,mostly sunny,33°,19°
214,2019-8-3,mostly sunny,33°,23°
215,2019-8-4,mostly sunny,32°,19°
216,2019-8-5,mostly sunny,27°,20°
217,2019-8-6,mostly sunny,27°,21°
218,2019-8-7,mostly sunny,31°,22°
219,2019-8-8,mostly sunny,31°,20°
220,2019-8-9,mostly cloudy,29°,22°
221,2019-8-10,mostly sunny,32°,23°
222,2019-8-11,mostly sunny,30°,22°
223,2019-8-12,mostly sunny,32°,21°
224,2019-8-13,mostly sunny,30°,18°
225,2019-8-14,mostly sunny,31°,18°
226,2019-8-15,mostly sunny,31°,18°
227,2019-8-16,mostly sunny,28°,19°
228,2019-8-17,cloudy,25°,17°
229,2019-8-18,cloudy,26°,22°
230,2019-8-19,cloudy,27°,21°
231,2019-8-20,cloudy,25°,20°
232,2019-8-21,mostly sunny,32°,15°
233,2019-8-22,mostly sunny,32°,18°
234,2019-8-23,mostly sunny,32°,20°
235,2019-8-24,mostly sunny,29°,17°
236,2019-8-25,mostly sunny,29°,18°
237,2019-8-26,mostly sunny,29°,19°
238,2019-8-27,mostly sunny,28°,19°
239,2019-8-28,mostly sunny,30°,18°
240,2019-8-29,mostly sunny,31°,20°
241,2019-8-30,mostly sunny,33°,21°
242,2019-8-31,mostly sunny,31°,20°
243,2019-9-1,mostly sunny,31°,20°
244,2019-9-2,mostly sunny,31°,18°
245,2019-9-3,mostly sunny,32°,18°
246,2019-9-4,mostly sunny,30°,15°
247,2019-9-5,mostly sunny,28°,20°
248,2019-9-6,mostly sunny,27°,17°
249,2019-9-7,mostly sunny,29°,17°
250,2019-9-8,mostly sunny,26°,15°
251,2019-9-9,mostly sunny,22°,12°
252,2019-9-10,cloudy,18°,14°
253,2019-9-11,mostly sunny,28°,17°
254,2019-9-12,mostly sunny,29°,17°
255,2019-9-13,mostly sunny,30°,14°
256,2019-9-14,mostly sunny,29°,16°
257,2019-9-15,mostly sunny,29°,16°
258,2019-9-16,mostly sunny,28°,16°
259,2019-9-17,mostly sunny,29°,17°
260,2019-9-18,mostly sunny,29°,18°
261,2019-9-19,mostly sunny,27°,18°
262,2019-9-20,mostly sunny,26°,16°
263,2019-9-21,cloudy,22°,18°
264,2019-9-22,cloudy,22°,17°
265,2019-9-23,mostly sunny,27°,13°
266,2019-9-24,mostly sunny,24°,14°
267,2019-9-25,mostly sunny,26°,18°
268,2019-9-26,mostly sunny,28°,19°
269,2019-9-27,mostly sunny,26°,15°
270,2019-9-28,mostly sunny,27°,17°
271,2019-9-29,mostly sunny,24°,12°
272,2019-9-30,mostly sunny,29°,17°
273,2019-10-1,mostly sunny,24°,14°
274,2019-10-2,mostly sunny,26°,16°
275,2019-10-3,mostly sunny,26°,13°
276,2019-10-4,mostly sunny,24°,8°
277,2019-10-5,mostly sunny,25°,15°
278,2019-10-6,mostly sunny,24°,14°
279,2019-10-7,mostly sunny,24°,15°
280,2019-10-8,mostly sunny,21°,10°
281,2019-10-9,mostly sunny,24°,11°
282,2019-10-10,mostly sunny,25°,14°
283,2019-10-11,cloudy,21°,8°
284,2019-10-12,cloudy,19°,18°
285,2019-10-13,cloudy,21°,17°
286,2019-10-14,cloudy,21°,18°
287,2019-10-15,mostly sunny,20°,14°
288,2019-10-16,mostly sunny,20°,9°
289,2019-10-17,mostly cloudy,21°,13°
290,2019-10-18,cloudy,22°,18°
291,2019-10-19,cloudy,21°,17°
292,2019-10-20,cloudy,22°,20°
293,2019-10-21,mostly sunny,20°,14°
294,2019-10-22,cloudy,17°,15°
295,2019-10-23,thunderstorm,21°,14°
296,2019-10-24,mostly sunny,20°,13°
297,2019-10-25,mostly sunny,23°,14°
298,2019-10-26,mostly sunny,22°,11°
299,2019-10-27,mostly sunny,22°,13°
300,2019-10-28,mostly sunny,19°,13°
301,2019-10-29,mostly sunny,21°,13°
302,2019-10-30,mostly sunny,20°,12°
303,2019-10-31,mostly sunny,21°,14°
304,2019-11-1,mostly sunny,18°,9°
305,2019-11-2,cloudy,20°,13°
306,2019-11-3,mostly sunny,18°,11°
307,2019-11-4,mostly sunny,21°,11°
308,2019-11-5,mostly sunny,16°,11°
309,2019-11-6,mostly sunny,17°,10°
310,2019-11-7,mostly sunny,14°,7°
311,2019-11-8,mostly sunny,14°,5°
312,2019-11-9,mostly sunny,15°,7°
313,2019-11-10,mostly sunny,14°,5°
314,2019-11-11,mostly sunny,16°,6°
315,2019-11-12,mostly sunny,15°,5°
316,2019-11-13,mostly sunny,14°,5°
317,2019-11-14,cloudy,8°,2°
318,2019-11-15,mostly sunny,9°,1°
319,2019-11-16,mostly sunny,12°,1°
320,2019-11-17,mostly sunny,13°,1°
321,2019-11-18,mostly sunny,13°,2°
322,2019-11-19,mostly sunny,13°,1°
323,2019-11-20,cloudy,12°,6°
324,2019-11-21,mostly cloudy,15°,7°
325,2019-11-22,scattered showers,15°,8°
326,2019-11-23,scattered showers,17°,12°
327,2019-11-24,scattered showers,14°,7°
328,2019-11-25,mostly sunny,15°,4°
329,2019-11-26,mostly sunny,15°,7°
330,2019-11-27,mostly sunny,18°,11°
331,2019-11-28,mostly sunny,17°,9°
332,2019-11-29,mostly sunny,18°,10°
333,2019-11-30,mostly sunny,14°,4°
334,2019-12-1,cloudy,15°,7°
335,2019-12-2,mostly sunny,15°,5°
336,2019-12-3,mostly sunny,12°,4°
337,2019-12-4,mostly sunny,10°,4°
338,2019-12-5,mostly sunny,12°,4°
339,2019-12-6,mostly sunny,14°,4°
340,2019-12-7,mostly sunny,14°,3°
341,2019-12-8,mostly sunny,17°,3°
342,2019-12-9,mostly sunny,15°,10°
343,2019-12-10,mostly sunny,11°,1°
344,2019-12-11,mostly sunny,9°,0°
345,2019-12-12,mostly sunny,13°,6°
346,2019-12-13,mostly sunny,15°,6°
347,2019-12-14,cloudy,18°,10°
348,2019-12-15,cloudy,16°,7°
349,2019-12-16,cloudy,15°,13°
350,2019-12-17,cloudy,16°,15°
351,2019-12-18,cloudy,17°,13°
352,2019-12-19,cloudy,16°,14°
353,2019-12-20,scattered showers,16°,10°
354,2019-12-21,mostly sunny,15°,10°
355,2019-12-22,mostly sunny,15°,9°
356,2019-12-23,mostly sunny,15°,6°
357,2019-12-24,mostly sunny,19°,7°
358,2019-12-25,mostly sunny,18°,6°
359,2019-12-26,mostly sunny,15°,3°
360,2019-12-27,mostly sunny,16°,8°
361,2019-12-28,mostly sunny,14°,4°
362,2019-12-29,mostly sunny,13°,4°
363,2019-12-30,cloudy,9°,1°
364,2019-12-31,cloudy,12°,2°
365,2020-1-1,foggy,10°,0°
366,2020-1-2,cloudy,10°,0°
367,2020-1-3,cloudy,13°,6°
368,2020-1-4,mostly sunny,17°,6°
369,2020-1-5,mostly sunny,14°,1°
370,2020-1-6,cloudy,12°,4°
371,2020-1-7,mostly sunny,16°,1°
372,2020-1-8,mostly sunny,15°,4°
373,2020-1-9,mostly sunny,13°,2°
374,2020-1-10,mostly sunny,16°,7°
375,2020-1-11,mostly sunny,13°,4°
376,2020-1-12,mostly sunny,14°,0°
377,2020-1-13,mostly sunny,12°,-1°
378,2020-1-14,cloudy,14°,6°
379,2020-1-15,cloudy,14°,9°
380,2020-1-16,cloudy,14°,6°
381,2020-1-17,cloudy,13°,9°
382,2020-1-18,mostly sunny,12°,3°
383,2020-1-19,mostly sunny,10°,5°
384,2020-1-20,mostly sunny,9°,6°
385,2020-1-21,mostly sunny,8°,4°
386,2020-1-22,scattered showers,11°,6°
387,2020-1-23,cloudy,13°,6°
388,2020-1-24,cloudy,12°,7°
389,2020-1-25,cloudy,13°,7°
390,2020-1-26,cloudy,13°,5°
391,2020-1-27,foggy,9°,2°
392,2020-1-28,mostly sunny,15°,5°
393,2020-1-29,mostly sunny,14°,5°
394,2020-1-30,cloudy,12°,4°
395,2020-1-31,mostly sunny,20°,6°
396,2020-2-1,foggy,18°,6°
397,2020-2-2,mostly sunny,20°,10°
398,2020-2-3,mostly sunny,23°,15°
399,2020-2-4,mostly sunny,17°,9°
400,2020-2-5,mostly sunny,16°,6°
401,2020-2-6,mostly sunny,13°,3°
402,2020-2-7,cloudy,14°,5°
403,2020-2-8,cloudy,12°,7°
404,2020-2-9,cloudy,13°,8°
405,2020-2-10,cloudy,18°,10°
406,2020-2-11,mostly sunny,17°,11°
407,2020-2-12,mostly sunny,16°,5°
408,2020-2-13,cloudy,14°,2°
409,2020-2-14,mostly sunny,18°,6°
410,2020-2-15,mostly sunny,15°,2°
411,2020-2-16,cloudy,13°,8°
412,2020-2-17,cloudy,14°,12°
413,2020-2-18,mostly sunny,16°,7°
414,2020-2-19,mostly sunny,16°,6°
415,2020-2-20,mostly sunny,15°,3°
416,2020-2-21,mostly sunny,19°,4°
417,2020-2-22,mostly sunny,16°,3°
418,2020-2-23,mostly sunny,18°,2°
419,2020-2-24,mostly sunny,22°,9°
420,2020-2-25,mostly sunny,17°,10°
421,2020-2-26,mostly sunny,13°,8°
